label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
A,0.0,0.2089648050039686,0.30949801973308,0.3212287185600479,0.354241487676154,0.2000407449878118,0.22364724623386212,0.22008886744061973,0.1992650521969516,0.06007994691049113,0.08849831523509555,0.1010339544926896,0.08745472919206924,-0.07916579680151846,-0.051112645771749406,-0.014647772691377898,-0.01469744325201481,-0.22620773842121242,-0.1954737008248843,-0.1384404250791451,-0.12637886232732545,0.0,-0.20712749853005397,-0.5322419929543445,-0.7970765975514683,-1.0,-0.714421002629262,-0.9217726490192459,-0.7086904823137505,-0.5591167918768211,-0.7002144658826283,-0.9400418342102582,-0.6734891829117134,-0.5220683527426722,-0.6435229588929465,-0.8072530112462217,-0.5469164919372326,-0.42779009876625385,-0.5568367366492089,-0.7245114383484967,-0.5448792425466424,-0.4453109477949801,0.0,-0.04712925933780382,-0.05278187393182136,-0.06303717824973111,-0.05962145655287381,0.01980042256007553,-0.07383463547631862,-0.11472509720326064,-0.12047023345944173,0.009086159976908856,-0.09137942943426051,-0.10649956096291362,-0.08331209203853088,-0.01870318711239629,-0.13204129942497186,-0.09711100556435402,-0.03438588462158156,-0.04818989993801581,-0.10980385876490306,-0.06256494547986868,-0.004839020896735793
A,0.0,0.25541512789349885,0.41753126581110256,0.45036526718087566,0.4911584342655193,0.2951985306850752,0.32683265328530353,0.30303592372873794,0.28042371015573914,0.1503143553599913,0.19076389307003927,0.18292729075800776,0.15709307171111275,0.005809392332907957,0.04143072270272975,0.05714323798503055,0.04002384168829788,-0.15813243195951995,-0.12012241429344571,-0.07209281020486615,-0.0714012024317031,0.0,-0.17547464513376412,-0.4756675497632832,-0.7870786770065747,-1.0,-0.7046308972059045,-0.9153395271718545,-0.6742263622922225,-0.5937913333779908,-0.7205983669584429,-0.9344254165545993,-0.6462568289560501,-0.58049551988402,-0.6914252271178928,-0.8667766310788483,-0.5822782808274352,-0.514029781890235,-0.6349315186870782,-0.7873171390742182,-0.5803012258260632,-0.5001284938900732,0.0,-0.054983697172820443,-0.05908633764036424,-0.06505446934823951,-0.05220784790163214,0.03609067173014447,-0.046480804620032616,-0.07744446445812918,-0.08453465141080875,0.029022985328435405,-0.07119868004613812,-0.09206086331717121,-0.07894058518522724,0.005403951084418336,-0.11342758278964929,-0.07548097897635729,-0.015265134375004085,-0.019995843446085324,-0.0899783868451085,-0.04410707768383867,0.012477097152686039
A,0.0,0.2065128764751758,0.3138075440588702,0.338137132813366,0.39889631629435,0.1796821026878594,0.20676321534718323,0.20116485806380952,0.17554809558449389,0.03652545512201927,0.07162892595148054,0.0854447228191154,0.054976157205759824,-0.10783297328756422,-0.07490795749263583,-0.03284292844473229,-0.052676940109730404,-0.262392214901818,-0.23885760632405353,-0.16264258682913424,-0.14322281327562905,0.0,-0.20113736706532104,-0.5328072838034056,-0.8144595600250251,-1.0,-0.6869747098239717,-0.8896349349658836,-0.6768183560096425,-0.5918528800760008,-0.6837616236238799,-0.8925570242641393,-0.637513941076488,-0.5618604761859639,-0.6347305738908456,-0.8022060672358203,-0.5502193880845307,-0.4759201991956982,-0.5581060542120286,-0.7291109730623474,-0.5541408495522879,-0.46555273214247544,0.0,-0.03769550492320461,-0.03677357514436005,-0.04061866507573502,-0.030739738270325674,0.028462882770502258,-0.044834680334285934,-0.06974139756418936,-0.07322197696425313,0.015358258820366413,-0.06659977280981784,-0.07621660889228775,-0.05957985131176888,-0.012595373678478305,-0.11558791262011123,-0.08273452354744706,-0.030884348359819618,-0.040473786411857046,-0.1018455811762928,-0.05968571093821304,-0.009550536417751911
A,0.0,0.21569331402822908,0.3386167724684363,0.3541674752599993,0.33187807877042064,0.20139071814317944,0.21883308604332774,0.22119838161809427,0.2033420796041994,0.06032232681014412,0.08273096824134349,0.10065982201030127,0.07860605864782443,-0.08264570884690092,-0.05531428553415528,-0.01681742786740002,-0.031158195925004833,-0.23715321689458,-0.20894082909367737,-0.14280219603769895,-0.13103029205701613,0.0,-0.17206695369513525,-0.494585265009446,-0.7862479502774699,-1.0,-0.6908480566276053,-0.8811932256658064,-0.6608273914447443,-0.5843738000392853,-0.6864388012893624,-0.8808609553741198,-0.6146878245250348,-0.5605255997858024,-0.6377238194553762,-0.77105769130366,-0.5102708263925652,-0.46701205176757354,-0.5635579971735846,-0.6857268779576046,-0.49557685491638864,-0.4348699988789695,0.0,-0.06294943062822482,-0.06712992998722785,-0.06928987158725164,-0.05434995434058139,0.011711931869354332,-0.07484492009595597,-0.10386995035294386,-0.1079562075433498,0.008407487718493572,-0.09330828894632047,-0.10926995827305398,-0.09251287937910327,-0.012699967476734188,-0.14002563479526664,-0.11139561879940243,-0.056913548194969965,-0.03505591283940135,-0.11297313924146278,-0.07642429373542586,-0.027646777263271458
A,0.0,0.22633963029168822,0.3678326505083253,0.3907597183824881,0.35707214259014586,0.24030382320322033,0.2606231616052083,0.25088915288988567,0.23030776676951192,0.09192657605922176,0.11773334172215005,0.12774507578514596,0.1049733963481507,-0.054444808371052165,-0.02899641789301709,0.001592795733546508,-0.017839291654895593,-0.21339396926321105,-0.18274379278964753,-0.1286765839751395,-0.13186741845268277,0.0,-0.17635760045299612,-0.4873429615566025,-0.7895005323197669,-1.0,-0.6883768420957402,-0.8861331214745894,-0.6529129138020296,-0.5909897734567148,-0.690130577689284,-0.8781314650945037,-0.6007408476570323,-0.5699344603132894,-0.6470776487791599,-0.7810235096588589,-0.5199394771546614,-0.49326098390128503,-0.584763544340859,-0.7052683825086592,-0.519448484646615,-0.47064530972621615,0.0,-0.06460729970824353,-0.0706715866238689,-0.074625401201823,-0.05883252848854659,0.012856183848390644,-0.07035379979315974,-0.09729489976235962,-0.10241053589990168,0.01124785264438778,-0.08910830518400252,-0.10564534484254479,-0.0920918929678293,-0.006998149804303707,-0.12459289068187675,-0.08619074335040457,-0.0295537140853595,-0.027593782327766693,-0.09065507679517758,-0.0427891317569365,0.010854108021043595
A,0.0,0.21317765071198636,0.33296916288059913,0.32010246607568815,0.3431279661154374,0.20466755182927673,0.21348921766733944,0.22930418229445382,0.21538482226939398,0.05849627563283392,0.08353717188568509,0.11465713396370517,0.08309730974639973,-0.0820871643906755,-0.054505974056587914,-0.009167889796859532,-0.037745679097308166,-0.23078667146030868,-0.1949589930029438,-0.13574846668715435,-0.1537834571097582,0.0,-0.15115970935974424,-0.493146713527286,-0.7949317914575875,-1.0,-0.7272326723881869,-0.9411284794939306,-0.6868266604017088,-0.6167651301303736,-0.7015828313258968,-0.894277055896951,-0.6069748480134665,-0.5891538312155482,-0.6379949919888434,-0.7742442795674173,-0.5121419155346038,-0.505993041308775,-0.5575879753942197,-0.6757052724920491,-0.4996709315051047,-0.4681114039240627,0.0,-0.06525668425916839,-0.07443040790254199,-0.07968059784862934,-0.06215929491537131,-0.017292432809902482,-0.10197284394479723,-0.11697794831330015,-0.11451260432795636,-0.021317972302274776,-0.11685455998755873,-0.11983083521696733,-0.10049240033317558,-0.041557492365565094,-0.1595690695350935,-0.11832248925681706,-0.0632104316947479,-0.06358626366058805,-0.1344364755973104,-0.092730560245039,-0.044662328515558625
A,0.0,0.20853358077748052,0.32635868799534345,0.31421463180781806,0.3374036428791166,0.211956813328017,0.21645511941894885,0.2273626625154926,0.2169841162009655,0.07055024157069392,0.08653685820300121,0.11816950515931082,0.09674566622136499,-0.06684354896047597,-0.046313031385083796,-0.0022755449863418086,-0.022240300406870125,-0.21068737062159149,-0.18016103812289322,-0.11894263945655954,-0.126019828984083,0.0,-0.1605593045728404,-0.5005154871961935,-0.796494204580676,-1.0,-0.7364665794076085,-0.9551551228542435,-0.7063933728919739,-0.6386424140008715,-0.7078931299124231,-0.9121792004100738,-0.6273096084420244,-0.6054558269352578,-0.6433743394295017,-0.7646067571860382,-0.5029078418513845,-0.4996437329224361,-0.5645339405184516,-0.67383951692809,-0.4989325497258905,-0.47019187085762326,0.0,-0.06885075535747122,-0.07688405566630035,-0.08235487100454371,-0.0637390175731282,0.0025508242007933105,-0.08862004998918639,-0.10987564633511362,-0.10917675444924106,0.0003641021733240647,-0.10640697574011673,-0.11459599211875258,-0.09229425928277787,-0.02083220208840234,-0.14969791277656908,-0.11420605963580265,-0.056132680486960594,-0.04420497066668827,-0.11622200345599701,-0.0758680745017509,-0.025967147411248632
A,0.0,-0.2814833153007769,-0.4976614728829066,-0.5786192970766882,-0.6192288178589549,-0.3978762334981733,-0.4575782582384332,-0.4076195191725807,-0.354613787468494,-0.22398635638444186,-0.28458899015646555,-0.24322006442818458,-0.19967195010381455,-0.0448480884471422,-0.09377336846116073,-0.08040299197805938,-0.06061384044549584,0.1464795763469912,0.08398077342347574,0.06653626173899047,0.07187165710024268,0.0,-0.12251705961339014,-0.4169870756491211,-0.7124020180162558,-0.9570826176344138,-0.7234810372896966,-0.9599614082917158,-0.7441883210161804,-0.553660507071411,-0.7620796733356562,-1.0,-0.7018301516568557,-0.5136290468826091,-0.7610711746020102,-0.9591094973501311,-0.6524946055149059,-0.479213862043812,-0.7257023018507311,-0.9046822500555239,-0.6978055295764489,-0.5733746757705607,0.0,-0.042449080567350604,-0.057544307364951974,-0.08775281898627237,-0.10393030798845053,0.05550779959153965,-0.06729581338904836,-0.14017202141750923,-0.16389885416707675,0.024821716535316785,-0.10377228752506477,-0.14550514997435457,-0.1318338361039567,-0.02746364096520789,-0.15268615710791164,-0.11864875177883276,-0.05163091826823023,-0.08381401073449304,-0.14498228224774035,-0.09271126897088866,-0.02855156062965971
A,0.0,-0.26503991834664237,-0.4695247487118309,-0.5444672722019445,-0.5765589451996327,-0.3701583774408319,-0.4230302331756453,-0.3855226966514771,-0.33653165720450756,-0.20321813848169962,-0.2570518609400492,-0.23466915207411287,-0.19675167154084633,-0.03191692997573198,-0.06928229276886656,-0.06917678386833269,-0.05295279139788469,0.15114978860677447,0.10001502672973407,0.0725025570306324,0.0717914933497701,0.0,-0.13483530421424197,-0.42571554195836414,-0.7117306687362793,-0.9545479943118806,-0.7195324766049616,-0.9516951584578889,-0.7512413141650379,-0.5568495510362251,-0.7526438414445007,-1.0,-0.7167847596001155,-0.527456838619846,-0.7464980942576732,-0.9437716545560586,-0.6419652973230091,-0.4707874425685898,-0.7044863418143181,-0.8850976869075059,-0.6802367494911535,-0.5526205163714807,0.0,-0.04660559187704489,-0.06335792723659768,-0.09513743113803792,-0.1134187374669435,0.06203699979405129,-0.06613737857861336,-0.1464006418128863,-0.1738199136083972,0.03222628332230793,-0.1009527865153205,-0.14726183871092463,-0.13423322034802687,-0.021101780172987413,-0.1517066693062435,-0.12308211434268844,-0.05628024367573274,-0.07913894322100108,-0.143834774078727,-0.09411030394159761,-0.030034383583655257
A,0.0,-0.2713015519813741,-0.4884357120047782,-0.5631084585399145,-0.578577958366859,-0.36906858800897696,-0.4130326021991238,-0.36160447826296893,-0.308515183643758,-0.1986669247283556,-0.2505667416100534,-0.21635510586818485,-0.17747928912931366,-0.022267153088604833,-0.0561872521583249,-0.05243785115764607,-0.0422478633831157,0.16165495448010916,0.1298289692099133,0.09689364328327504,0.08239958417984465,0.0,-0.13226026738599334,-0.45111820645503176,-0.7492827224047454,-0.9920192596794436,-0.7245980668907259,-0.9346817868093958,-0.7216143300519735,-0.5449806392869707,-0.7564555997966345,-1.0,-0.7143231743859978,-0.5374126556536001,-0.7512916271560425,-0.9604270920951566,-0.6611340634531494,-0.4922811760633988,-0.7110103683181398,-0.8876194093227625,-0.6897146998186671,-0.5667815771545615,0.0,-0.05692595638954096,-0.07488413736098092,-0.10450573792571403,-0.11842034380140538,0.042707607931320606,-0.08564401770516056,-0.16317223736962355,-0.1921396873103221,0.017714646553741865,-0.11807458780035529,-0.16063261465500123,-0.14859286777862293,-0.031077414382291703,-0.16349265889472755,-0.13107073016357548,-0.06512493711687728,-0.08574881722652916,-0.15310164370195425,-0.10782007192367794,-0.049985717451197016
